rotten_tomatoes_link,critic_name,top_critic,publisher_name,review_type,review_score,review_date,review_content
m/spider_man_homecoming,Mara Reinstein,FALSE,MaraMovies.com,Fresh,,6/29/2017,"It's a near-miracle that six screenwriters were able to pool their talents and craft such a winsome, witty story."
m/spider_man_homecoming,Clayton Davis,FALSE,AwardsCircuit.com,Fresh,3.5/4,6/29/2017,"Director Jon Watts gives the iconic web-slinging character a heartfelt story, in what is easily the best written film of the Marvel MCU (::gasp:: villain included) yet."
m/spider_man_homecoming,Tim Grierson,FALSE,Screen International,Fresh,,6/29/2017,"The sixth Spider-Man movie in 15 years proves to be a fun, likable coming-of-age tale, albeit one weighed down by its air of familiarity and need to adhere to the overarching narrative of the Marvel Cinematic Universe."
m/spider_man_homecoming,Peter Travers,TRUE,Rolling Stone,Fresh,4-Mar,6/29/2017,News Flash: Tom Holland is the best movie Spider-Man ever. He finds the kid inside the famous red onesie and brings out the kid in even the most hardened filmgoer.
m/spider_man_homecoming,Angie Han,FALSE,Mashable,Fresh,,6/29/2017,"Watts nails the timeless cornerstones of adolescence: the crippling anxiety mixed with brash confidence, the life-or-death dimensions of a crush, the impatience to grow up."
m/spider_man_homecoming,Kristy Puchko,FALSE,CBR,Fresh,,6/29/2017,"By thoughtfully considering how a modern Spider-Man would fit into the character-driven realm of the MCU, Watts not only created a superhero movie full of charm and surprises, but also one the best MCU movies yet."
m/spider_man_homecoming,Alan Cerny,FALSE,ComingSoon.net,Fresh,9.5/10,6/29/2017,"One of the very best Marvel Cinematic Universe films, and one of the best films of the year."
m/spider_man_homecoming,Brian Truitt,TRUE,USA Today,Fresh,3.5/4,6/29/2017,The magic of Homecoming is that it belongs more to the John Hughes cinematic universe than the Avengers'.
m/spider_man_homecoming,Sean O'Connell,FALSE,CinemaBlend,Fresh,4.5/5,6/29/2017,Spider-Man: Homecoming gets it right. It is my favorite Marvel Cinematic Universe movie.
m/spider_man_homecoming,Stephen Whitty,TRUE,Newark Star-Ledger,Fresh,4-Mar,6/29/2017,"A funny, sunny superhero movie for the whole family."
m/spider_man_homecoming,Eder Campuzano,FALSE,Oregonian,Fresh,,6/29/2017,"It's a solid ""Spider-Man"" adventure. And nearly every scene in ""Homecoming"" is filled with bits that rewards fans who play close attention to the details."
m/spider_man_homecoming,David Crow,FALSE,Den of Geek,Fresh,5-Apr,6/29/2017,"Most impressive is that it's a blast to watch, harkening back to the sugar rush that accompanied flipping through Stan Lee and Steve Ditko's earliest comic adventures ."
m/spider_man_homecoming,Matt Goldberg,FALSE,Collider,Fresh,5-Apr,6/29/2017,"Homecoming takes Peter Parker in a fresh direction not only by investing in his teenage world rather than using it as a backdrop, but by letting him run towards being Spider-Man rather than wrestle with the weight of his responsibilities."
m/spider_man_homecoming,Lindsey Bahr,TRUE,Associated Press,Fresh,4-Mar,6/29/2017,"You know what? Superhero cynicism aside, ""Spider-Man: Homecoming"" is really fun."
m/spider_man_homecoming,Jordan Raup,FALSE,The Film Stage,Fresh,B-,6/29/2017,"On paper, it's among the most inessential blockbusters of the year, but Spider-Man: Homecoming proves that going back to square one and adding good-hearted altruism can go a long way."
m/spider_man_homecoming,Benjamin Lee,TRUE,Guardian,Fresh,5-Apr,6/29/2017,"Spider-Man: Homecoming is so joyously entertaining that it's enough to temporarily cure any superhero fatigue. There's wit, smarts and a nifty, inventive plot that serves as a reminder of what buoyant fun such films can bring."
m/spider_man_homecoming,"Robert Yaniz, Jr.",FALSE,We Got This Covered,Fresh,10-Aug,6/29/2017,"It may not quite reach the heights of Raimi's Spider-Man 2, but Spider-Man: Homecoming emerges as one of the character's strongest films to date, granting him a clean slate and infinite room to grow."
m/spider_man_homecoming,Jim Vejvoda,FALSE,IGN Movies,Fresh,8.7/10,6/29/2017,Tom Holland's Spidey can't swing back onto screens again fast enough.
m/spider_man_homecoming,Rodrigo Perez,FALSE,The Playlist,Fresh,B-,6/29/2017,"Spider-Man: Training Wheels is entertaining, but still owes too much to Tony Stark."
m/spider_man_homecoming,John DeFore,TRUE,Hollywood Reporter,Rotten,,6/29/2017,"Hang in there, True Believers: Maybe it'll get better the second time around."
m/spider_man_homecoming,Susana Polo,FALSE,Polygon,Fresh,,6/29/2017,"Spider-Man: Homecoming is smart, incredibly funny and surprisingly clever. It is an entirely unexpected - perhaps even vanishingly implausible - fresh start for the third Spider-Man franchise of the past fifteen years."
m/spider_man_homecoming,Mike Ryan,FALSE,Uproxx,Fresh,10-Aug,6/29/2017,"After 13 long years, we have ourselves another great Spider-Man movie."
m/spider_man_homecoming,Matt Singer,FALSE,ScreenCrush,Fresh,10-Jul,6/29/2017,A return to form with an incredibly likable cast.
m/spider_man_homecoming,David Ehrlich,TRUE,indieWire,Fresh,B,6/29/2017,Marvel has finally started to figure out what the future of superhero movies might look like.
m/spider_man_homecoming,Robert Abele,TRUE,TheWrap,Fresh,,6/29/2017,"Feels a little more punchy, laugh-filled, and exciting than one might expect from a property that's already been given plenty of chances to succeed."
m/spider_man_homecoming,Owen Gleiberman,TRUE,Variety,Fresh,,6/29/2017,"The appeal of this particular Spider-Boy is all too basic: In his lunge for valor, he keeps falling, and he keeps getting up."
m/spider_man_homecoming,Edward Douglas,FALSE,The Weekend Warrior,Fresh,8.5/10,6/29/2017,The best-realized Spider-Man movie in terms of making the character current with what's been done with Marvel Studios' other movies...
m/spider_man_homecoming,Matt Prigge,FALSE,Metro,Fresh,5-Mar,6/29/2017,"Quick on its feet, fun and funny, yet not smug and self-satisfied a la ""Deadpool."" It's such a blast it took me a long time to realize I didn't care about anyone or anything that happened."
m/spider_man_homecoming,Michael Roffman,FALSE,Consequence of Sound,Fresh,A-,6/29/2017,Spider-Man: Homecoming is an enchanting reminder why we ever hid comic books under our bed in the first place.
m/spider_man_homecoming,James Mottram,FALSE,The List,Fresh,5-Apr,6/30/2017,"Against the odds, Homecoming breathes new life into the character."
m/spider_man_homecoming,Oliver Jones,TRUE,Observer,Fresh,4-Mar,6/30/2017,"As long as the kids stay in the picture -- thankfully, that's most of the movie -- Spider-Man: Homecoming is the fun playdate most of us have been looking forward to since the character stole Cap's shield last spring in Captain America: Civil War."
m/spider_man_homecoming,Harry Guerin,FALSE,RTÉ (Ireland),Fresh,5-Apr,6/30/2017,"The less you know about the plot the more the fun, suffice to say that Homecoming trades adolescent angst for hit-the-spot humour (top work from co-stars Jacob Batalon and Zendaya) and throws in some surprises 'twixt webs and wisecracks."
m/spider_man_homecoming,Gary Dowell,FALSE,Dark Horizons,Fresh,,6/30/2017,The movie has heart and an ebullience that is infectious.
m/spider_man_homecoming,Alex Abad-Santos,FALSE,Vox,Fresh,4.5/5,6/30/2017,"The movie is a soaring, fearless teenage dream. And it feels so great to be able to say: Welcome home, Spidey."
m/spider_man_homecoming,Stephanie Zacharek,TRUE,TIME Magazine,Fresh,,6/30/2017,"It's a relief to see a superhero engaged in deeply human activities, like getting ready for a date... This Spider-Man is still just a kid, after all, and he has no energy for existential angst -- just dealing with hormones is enough."
m/spider_man_homecoming,J.R. Kinnard,FALSE,PopMatters,Fresh,10-Jul,6/30/2017,"This is a lighthearted lark that functions as both a standalone feature, as well as an endlessly entertaining entry in the Marvel Cinematic Universe."
m/spider_man_homecoming,Abigail Chandler,FALSE,SciFiNow,Fresh,5-Apr,6/30/2017,"The less you know about the gags and twists in this film, the better. Go in as blind as you can and just enjoy the ride. You probably won't see a better or more satisfying superhero film all year."
m/spider_man_homecoming,Joseph Walsh,FALSE,The Skinny,Fresh,5-Apr,6/30/2017,"This Spider-Man film is undoubtedly the funniest Marvel product since Avengers Assemble, and mercifully we don't have to go through another origins plot."
m/spider_man_homecoming,Tom Huddleston,TRUE,Time Out,Fresh,5-Apr,6/30/2017,A welcome narrowing of the Marvel mega-verse away from alien invasions and globe-smashing supervillains and back towards something more intimate.
m/spider_man_homecoming,Robbie Collin,TRUE,Daily Telegraph (UK),Rotten,5-Feb,6/30/2017,A little of the new Spider-Man went an exhilaratingly long way in Captain America: Civil War last year. But a lot of him goes almost nowhere in this slack and spiritless solo escapade.
m/spider_man_homecoming,Matt Looker,FALSE,TheShiznit.co.uk,Fresh,5-Apr,6/30/2017,"An amazing Spider-Man, a spectacular Spider-Man, and yes, the ultimate Spider-Man."
m/spider_man_homecoming,Scott Chitwood,FALSE,ComingSoon.net,Fresh,9.5/10,6/30/2017,"My new favorite Spider-Man film, my favorite film of the summer, and possibly my favorite film of 2017."
m/spider_man_homecoming,Manohla Dargis,TRUE,New York Times,Fresh,,6/30/2017,"Mr. Holland looks and sounds more like a teen than the actors who've previously suited up for this series, and he has fine support from a cast that includes Jacob Batalon as Peter's best friend."
m/spider_man_homecoming,Ian Sandwell,FALSE,Digital Spy,Fresh,5-Apr,6/30/2017,Spider-Man: Homecoming's biggest achievement is that it makes you forget it's the third different Spider-Man - and second reboot - in less than 20 years.
m/spider_man_homecoming,Erin Free,FALSE,FILMINK (Australia),Fresh,17/20,6/30/2017,"Spider-Man: Homecoming is fresh, funny and entertaining, but it ultimately works better as a teen flick than it does as a superhero movie."
m/spider_man_homecoming,Mark Daniell,TRUE,Toronto Sun,Fresh,4.5/5,6/30/2017,It's not only the best Spider-Man movie -- it's one of the best films in Marvel's cinematic universe.
m/spider_man_homecoming,Josh Larsen,FALSE,LarsenOnFilm,Fresh,4-Mar,6/30/2017,...works because it's only partly a Spider-Man movie.
m/spider_man_homecoming,Jim Vorel,FALSE,Paste Magazine,Fresh,7.9/10,6/30/2017,"Holland is simply a likable face, a near-perfect blend of awkwardness, uncertainty and charisma exemplified by the simple physical comedy of putting on the Spider-Man costume."
m/spider_man_homecoming,Rafer Guzman,TRUE,Newsday,Fresh,4-Mar,6/30/2017,"Director Jon Watts nicely handles the scenes of adolescent banter and awkwardness; if anything, they're more engaging than the action sequences."
m/spider_man_homecoming,Kate Muir,TRUE,Times (UK),Fresh,5-Apr,6/30/2017,"One might be tempted to have a few cynical thoughts about Spider-Man: Homecoming, were it not for the puppyish form of British actor Tom Holland in the red-and-blue superhero onesie."
m/spider_man_homecoming,Brian Viner,FALSE,Daily Mail (UK),Fresh,5-Apr,7/1/2017,I can't think of a movie from the prolific Marvel Cinematic Universe that I have enjoyed more.
m/spider_man_homecoming,A.A. Dowd,TRUE,AV Club,Fresh,B,7/1/2017,"For a film with six screenwriters, Homecoming creates a remarkably coherent vision of a smart kid still dumb about the world, battling the learning curves of his double lives."
m/spider_man_homecoming,Adam Woodward,TRUE,Little White Lies,Fresh,5-Mar,7/1/2017,This isn't the same old story of how Peter Parker becomes Spider-Man but rather the story of Spider-Man learning how to be Peter Parker.
m/spider_man_homecoming,Roger Moore,FALSE,Movie Nation,Rotten,4-Feb,7/2/2017,"Cute, nothing more."
m/spider_man_homecoming,Travis Hopson,FALSE,Punch Drunk Critics,Fresh,3.5/5,7/2/2017,Spider-Man: Homecoming reaches its most impressive heights when the training wheels are off and Stark isn't around.
m/spider_man_homecoming,Glenn Kenny,TRUE,RogerEbert.com,Fresh,4-Mar,7/3/2017,A comprehensively crowd-pleasing success.
m/spider_man_homecoming,Jamie Graham,FALSE,Total Film,Fresh,5-Apr,7/3/2017,"Holland, like his character, is clearly having a blast throughout, and you'll know just how he feels."
m/spider_man_homecoming,Mike Scott,FALSE,Times-Picayune,Fresh,5-Mar,7/3/2017,"While working inside the rigid confines of the Marvel blueprint, it manages to work equally well as a superhero movie and a teen comedy."
m/spider_man_homecoming,James Mottram,FALSE,South China Morning Post,Fresh,5-Apr,7/3/2017,"For sheer fun, Spider-Man: Homecoming is hard to beat."
m/spider_man_homecoming,Wenlei Ma,FALSE,News.com.au,Fresh,5-Apr,7/3/2017,Stark tells Peter to be the friendly neighbourhood Spider-Man and that's exactly what Jon Watts has given us - a grounded hero who has to live in our world. All other superhero directors should take note.
m/spider_man_homecoming,Donald Clarke,FALSE,Irish Times,Fresh,5-Apr,7/4/2017,Among the many virtues of this delightful film is an acknowledgement that these superhero things are essentially for children.
m/spider_man_homecoming,Simon Miraudo,FALSE,Student Edge,Fresh,3.5/5,7/4/2017,"Spider-Man: Homecoming never reaches greatness, but it aces goodness."
m/spider_man_homecoming,Joanna Langfield,FALSE,The Movie Minute,Fresh,,7/4/2017,This Spidey gets the job done.
m/spider_man_homecoming,Soren Andersen,TRUE,Seattle Times,Fresh,3.5/4,7/4/2017,"This third time's the charm in Marvel's pantheon of Spider-Man portrayers. Tobey Maguire was pretty good, Andrew Garfield was so-so, but Holland ... Well, when you've got it, you've got it."
m/spider_man_homecoming,Kenneth Turan,TRUE,Los Angeles Times,Fresh,,7/5/2017,"Against considerable odds, ""Spider-Man: Homecoming"" finds its pace and rhythm by the end."
m/spider_man_homecoming,Fred Topel,FALSE,We Live Entertainment,Rotten,,7/5/2017,A Spider-Man movie trapped in an Iron Man movie.
m/spider_man_homecoming,Katie Walsh,TRUE,Tribune News Service,Fresh,4-Mar,7/5/2017,"It delivers eye-popping spectacle in spades, but it's the characters that make it count."
m/spider_man_homecoming,Frank Swietek,FALSE,One Guy's Opinion,Fresh,B-,7/5/2017,"A mixed bag: it's nice to have Spider-Man rebooted with an actor so right for the part as Holland, but the effort to integrate him into the wider Marvel Universe raises doubts the movie doesn't resolve."
m/spider_man_homecoming,David Edelstein,TRUE,New York Magazine/Vulture,Fresh,,7/5/2017,Even those of us who regard the Marvel aesthetic as a plague on world cinema can find much in Spider-Man: Homecoming to be charmed by.
m/spider_man_homecoming,Sara Stewart,TRUE,New York Post,Fresh,4-Apr,7/5/2017,"Beginning with a score that riffs on the late-'70s cartoon and closing with a slyly funny after-credits scene, it's as sure-footed as its arachnid namesake."
m/spider_man_homecoming,Gary Thompson,FALSE,Philadelphia Daily News,Fresh,4-Mar,7/5/2017,"The movie is as bubbly and eager as Peter himself, but a little more efficient. It designs its actions sequences around character and story and - a rare thing in comic-book blockbusters - lets the actors act during the climactic action piece."
m/spider_man_homecoming,Mark Hughes,FALSE,Forbes,Fresh,,7/5/2017,[T]he perfect Spider-Man movie and one of the best films yet in the MCU. Audiences are going to fall in love with it...
m/spider_man_homecoming,James Berardinelli,TRUE,ReelViews,Rotten,2.5/4,7/5/2017,"The movie lacks inspiration; even the big ""twist"" is more worthy of a suppressed chuckle than a dropped jaw - it's like something pulled out of a bad soap opera."
m/spider_man_homecoming,Rob Vaux,FALSE,Sci-Fi Movie Page,Fresh,5-Mar,7/5/2017,The fifth-best superhero film so far this year... is still pretty darn good.
m/spider_man_homecoming,Ty Burr,TRUE,Boston Globe,Fresh,4-Mar,7/5/2017,"Adolescent in all the right ways: limber, reckless, full of youthful brio and uncertainty."
m/spider_man_homecoming,Mick LaSalle,TRUE,San Francisco Chronicle,Rotten,4-Feb,7/5/2017,"The movie breaks no new ground, and action sequences that were intended to be thrilling - such as an epic battle on the Staten Island Ferry - just sit there on the screen, incapable of stirring a single pulse, but content in their competence."
m/spider_man_homecoming,Jason Zingale,FALSE,Bullz-Eye.com,Fresh,3.5/5,7/5/2017,"The movie delivers all of the expected action beats, but what it does better than perhaps any of the previous Spider-Man films is capture the humor and sense of fun from the comics."
m/spider_man_homecoming,Christopher Machell,FALSE,CineVue,Fresh,5-Apr,7/5/2017,"What Spider-Man: Homecoming lacks in depth, it more than makes up for with a pop sensibility that fizzes with verve and fun."
m/spider_man_homecoming,Neil Pond,FALSE,Parade Magazine,Fresh,3.5/5,7/5/2017,"A rollicking, soaring glide of a ride that puts a bright new, fun, feisty, re-energized spin on pop culture's top web star."
m/spider_man_homecoming,Michelle Alexandria,FALSE,Eclipse Magazine,Fresh,B,7/5/2017,"It's a fun ride, but it seemed like the Director loved Peter Parker more than Spider-Man. The more I think about it, the more the movie bugs me."
m/spider_man_homecoming,Matthew Turner,FALSE,iNews.co.uk,Fresh,5-May,7/5/2017,"Borrowing heavily from John Hughes movies, the witty script ensures that the film succeeds as both high school movie and superhero adventure."
m/spider_man_homecoming,Tom Glasson,FALSE,Concrete Playground,Fresh,3.5/5,7/5/2017,It may have taken 15 years and 3 reboots but Spidey finally has a decent villain.
m/spider_man_homecoming,Diego Batlle,FALSE,Otroscines.com,Fresh,5-Apr,7/6/2017,The film is far from perfect but the end result is effective. [Full review in Spanish]
m/spider_man_homecoming,Uriel Barco,FALSE,Daily Trend (Mexico),Fresh,,7/6/2017,"An emotional film, whose initiative to reintroduce Spidey is sincere and purposeful. [Full review in Spanish]"
m/spider_man_homecoming,William Venegas,FALSE,La Nación (Costa Rica),Fresh,,7/6/2017,A film of superheroes against villains that takes good juice to its history and knows how to entertain. [Full review in Spanish]
m/spider_man_homecoming,Juanma Fernández París,FALSE,El Nuevo Día (Puerto Rico),Fresh,,7/6/2017,"The only thing that can be said is that it's a great moment, probably the best that this character has had on screen, and that both Keaton and Holland exploit their dramatic potential to the fullest. [Full review in Spanish]"
m/spider_man_homecoming,Jamie East,FALSE,The Sun (UK),Fresh,4.5/5,7/6/2017,Easily the most enjoyable Marvel Universe movie for the under 16s - and not far off it for the rest of us.
m/spider_man_homecoming,Andy Psyllides,FALSE,Sky Cinema,Fresh,5-Apr,7/6/2017,"Charming, fleet-footed and frequently hilarious, this latest take on the web-slinging do-gooder - the third since the early 2000s - is some seriously top-drawer fluff."
m/spider_man_homecoming,Luis Fernando Galván,FALSE,En Filme,Fresh,,7/6/2017,"An affable, jovial, lighthearted and very funny comedy coming of age that focuses on the psychological and moral growth of a teenager eager for risky and dangerous missions."
m/spider_man_homecoming,Nell Minow,FALSE,Movie Mom,Fresh,B+,7/6/2017,"Holland is immensely appealing, young but already very much a hero. My spidey-sense tells me he's just right for the job."
m/spider_man_homecoming,Liam Maguren,FALSE,Flicks.co.nz,Fresh,5-Apr,7/6/2017,This Spider-Man isn't about the big moments; it celebrates the small ones.
m/spider_man_homecoming,Pablo O. Scholz,FALSE,Clarín,Fresh,,7/6/2017,Homecoming points to fun and humor as none of the previous five had done... nor any of the characters from The Avengers. [Full review in Spanish]
m/spider_man_homecoming,Valerie Kalfrin,FALSE,Film Racket,Fresh,3.5/5,7/6/2017,"[W]e finally have an onscreen Peter and Spider-Man who captures the character's essence from the comics, flaws and all."
m/spider_man_homecoming,Sergio López Aguirre,FALSE,Cine Premiere,Fresh,5-Apr,7/6/2017,"After Spider-Man 2 in 2004, this is the best film of the friendly neighbor and there's no doubt the solid streak of films of the superhero genre in 2017 will continue. [Full review in Spanish]"
m/spider_man_homecoming,Chris Klimek,TRUE,NPR,Fresh,,7/6/2017,"If they're going to be as fizzy and funny and warmhearted as this, keep 'em coming."
m/spider_man_homecoming,Mark Dujsik,FALSE,Mark Reviews Movies,Fresh,4-Mar,7/6/2017,Spider-Man: Homecoming gives us a hero who's still learning but is having a blast doing so.
m/spider_man_homecoming,Michael Smith,FALSE,Tulsa World,Rotten,4-Feb,7/6/2017,"I really like Holland's effort to mix true-blue ""friendly neighborhood Spider-Man"" heroism with a teen boy's natural immaturity and awkwardness, but he needs a better movie."
m/spider_man_homecoming,Rob Carnevale,FALSE,Indie London,Fresh,5-Apr,7/6/2017,It's fun. John Watts' film carries an innocence and wide-eyed brashness befitting its central character's coming-of-age journey. But it's also capable of surprising.
m/spider_man_homecoming,Sean P. Means,FALSE,Salt Lake Tribune,Fresh,,7/6/2017,Packed with heart-pounding action and heartfelt emotion in equal measure.
m/spider_man_homecoming,Robert Horton,FALSE,Seattle Weekly,Fresh,,7/6/2017,"Funny without being tongue-in-cheek and epic without being ponderous, Spider-Man: Homecoming is what a summer movie should be."
m/spider_man_homecoming,Daniel M. Kimmel,FALSE,North Shore Movies,Rotten,2.5/5,7/6/2017,Aunt May seems to have discovered the Fountain of Youth. Rosemary Harris was 75 and Sally Field was 66. Marisa Tomei is 53. Aunt May will soon be younger than her nephew.
m/spider_man_homecoming,Peter Howell,TRUE,Toronto Star,Fresh,4-Mar,7/6/2017,"The movie's not flawless, but it is fun, a big improvement on the non-wowing The Amazing Spider-Man and its sequel of recent years."
m/spider_man_homecoming,Kevin Maher,TRUE,Times (UK),Fresh,5-Apr,7/6/2017,Deviously original ...
m/spider_man_homecoming,Andrew Pollard,FALSE,Starburst,Fresh,10-Sep,7/6/2017,Amazing? Yes. Spectacular? Most certainly. Superior? Without a shadow of a doubt.
m/spider_man_homecoming,Paul Byrnes,TRUE,Sydney Morning Herald,Fresh,5-Mar,7/6/2017,"It's funny, and a couple of the big action sequences have tension as well as spectacle ..."
m/spider_man_homecoming,Norman Wilner,FALSE,NOW Toronto,Fresh,5-Apr,7/6/2017,"After a decade and a half and five feature films of wildly varying quality, here is a Spider-Man movie that shows the pure heart of its excitable young hero."
m/spider_man_homecoming,Kyle Smith,FALSE,National Review,Fresh,,7/6/2017,"With its sunny warmth and its hilarious script by Watts and five other writers, Spider-Man: Homecoming is breezy fun, one of the most enjoyable superhero epics yet."
m/spider_man_homecoming,Steven D. Greydanus,FALSE,National Catholic Register,Fresh,B,7/6/2017,"Another good-enough Marvel movie that is less than the sum of its parts, a crowd-pleaser with many fine scenes but no great ones."
m/spider_man_homecoming,Fico Cangiano,FALSE,CineXpress,Fresh,3.5/5,7/6/2017,The best personification of the character on the big screen. [Full review in Spanish]
m/spider_man_homecoming,Joe Morgenstern,TRUE,Wall Street Journal,Fresh,,7/6/2017,"No cobwebs on Spidey - Spider-Man: Homecoming feels breezily, pleasingly fresh."
m/spider_man_homecoming,Rohan Naahar,FALSE,Hindustan Times,Fresh,5-Apr,7/6/2017,"It is, like they promised, a quintessential American coming-of-age movie John Hughes would've been proud of, complete with jocks and nerds, bored teachers and detention, after-school hijinks, and first love."
m/spider_man_homecoming,Kristian M. Lin,FALSE,Fort Worth Weekly,Fresh,,7/6/2017,Spider-Man: Homecoming benefits from its small scale and its focus on Peter's day-to-day teenage existence. The Marvel movies could use more of this.
m/spider_man_homecoming,Gonzalo Lira Galván,FALSE,Cinema Movil,Fresh,5-Apr,7/6/2017,"A summer film that re-creates in a surprisingly entertaining way the myth of a hero in the era of technology, and that all it seeks is to connect with a young audience eager to skip school and go to the movies. [Full review in Spanish]"
m/spider_man_homecoming,Eric D. Snider,FALSE,EricDSnider.com,Fresh,B+,7/6/2017,"Exhilarating, hilarious, fast-paced, and grounded in reality. It's the funniest chapter yet in the Marvel Cinematic Universe."
m/spider_man_homecoming,Chris Bumbray,FALSE,JoBlo's Movie Network,Fresh,10-Aug,7/6/2017,one can't deny that all involved have delivered exactly the movie that hardcore fans wanted
m/spider_man_homecoming,Nicholas Barber,TRUE,BBC.com,Fresh,5-Apr,7/6/2017,"Considering that it's the sixth Spider-Man movie in 15 years, and that it features the third actor in the title role, it's amazing that it's as distinctive and enjoyable as it is. You might even say that it's a marvel."
m/spider_man_homecoming,Bob Bloom,FALSE,"Journal and Courier (Lafayette, IN)",Fresh,3.5/4,7/6/2017,"(Tom) Holland deftly wears Parker's uncertainties and insecurities - not only about his responsibilities as Spider-Man, but also about the hazards of navigating the shark-infested waters of high school."
m/spider_man_homecoming,Boon Chan,FALSE,The Straits Times (Singapore),Fresh,3.5/5,7/6/2017,"By making Spider-Man younger than before, Homecoming smartly sidesteps direct comparisons with the previous incarnations of the superhero."
